,,,,,,,,,Normalized abundance,,,,,,,,,,Raw abundance,,,,,,,,,,Spectral counts,,,,,,,,,,
,,,,,,,,,Condition 1,,,,,Condition 2,,,,,Condition 1,,,,,Condition 2,,,,,Condition 1,,,,,Condition 2,,,,,Tags
Accession,Peptide count,Peptides used for quantitation,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,20130123_JC.1,20130123_JC.2,20130123_JC.3,20130123_JC.4,20130123_JC.5,20130123_JC.6,20130123_JC.7,20130123_JC.8,20130123_JC.9,20130123_JC.10,20130123_JC.1,20130123_JC.2,20130123_JC.3,20130123_JC.4,20130123_JC.5,20130123_JC.6,20130123_JC.7,20130123_JC.8,20130123_JC.9,20130123_JC.10,20130123_JC.1,20130123_JC.2,20130123_JC.3,20130123_JC.4,20130123_JC.5,20130123_JC.6,20130123_JC.7,20130123_JC.8,20130123_JC.9,20130123_JC.10,Anova p-value <= 0.05
YLR069C,10,5,210.52,3.78E-08,1.981953485,Condition 1,Condition 2,"MEF1 SGDID:S000004059, Chr XII from 273915-271630, Genome Release 64-1-1, reverse complement, Verified ORF, """"Mitochondrial elongation factor involved in translational elongation""""",310208.7111,326737.1647,285028.9194,307218.378,289359.3578,146528.7411,159591.7194,145268.3675,163277.6724,151523.2928,360112.7573,385123.0239,370470.1669,372967.3623,397097.6238,126669.5022,133642.0648,145268.3675,128894.9805,153116.5147,3,0,1,1,2,0,1,0,0,2,
YIL070C,3,3,243.86,1.44E-07,3.764718126,Condition 1,Condition 2,"MAM33 SGDID:S000001332, Chr IX from 231072-230272, Genome Release 64-1-1, reverse complement, Verified ORF, """"Acidic protein of the mitochondrial matrix involved in oxidative phosphorylation; related to the human complement receptor gC1q-R""""",1189763.251,943097.5329,1150124.079,1020356.005,1417616.326,328656.4619,326941.6022,279082.9906,298032.8632,286910.3946,1381163.421,1111623.081,1494889.223,1238726.31,1945442.784,284113.2062,273780.8137,279082.9906,235273.6876,289927.1712,1,2,2,1,1,0,1,0,1,1,
YDR347W,6,5,224.18,1.79E-07,2.000243011,Condition 1,Condition 2,"MRP1 SGDID:S000002755, Chr IV from 1169178-1170143, Genome Release 64-1-1, Verified ORF, """"Mitochondrial ribosomal protein of the small subunit; MRP1 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator, and wit",369705.1725,378724.2169,337704.0096,383831.2075,355564.3148,196730.8634,195987.9396,163339.6882,180534.5524,176060.5249,429180.5623,446399.8327,438935.3231,465976.3975,487952.9233,170067.6628,164120.2503,163339.6882,142517.9405,177911.7484,2,2,1,1,0,2,0,1,4,0,
YLR259C,38,27,2506.14,2.88E-07,2.103883395,Condition 1,Condition 2,"HSP60 SGDID:S000004249, Chr XII from 665002-663284, Genome Release 64-1-1, reverse complement, Verified ORF, """"Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggrega",43036599.74,40490522.18,43173396.41,42069061.14,50295903.89,21649030.42,22923915.2,19835478.74,20166478.69,19549443.34,49960004.49,47725921.71,56115201.96,51072422.38,69022768.34,18714907.99,19196480.69,19835478.74,15919861.17,19754999.87,10,13,13,9,11,5,6,11,9,15,
YNR037C,4,1,54.79,3.08E-06,3.011897377,Condition 1,Condition 2,"RSM19 SGDID:S000005320, Chr XIV from 695327-695052, Genome Release 64-1-1, reverse complement, Verified ORF, """"Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S19 ribosomal protein""""",91571.86945,101250.672,80893.9388,108255.0032,78837.55274,25647.51147,35961.29445,24988.84875,33048.45675,33350.14926,106303.2637,119343.5249,105142.9837,131423.072,108191.4374,22171.46948,30113.97873,24988.84875,26089.17757,33700.81606,0,0,0,0,1,0,0,0,0,0,
YDR194C,6,4,153.12,3.72E-06,2.855013477,Condition 1,Condition 2,"MSS116 SGDID:S000002602, Chr IV from 847946-845952, Genome Release 64-1-1, reverse complement, Verified ORF, """"DEAD-box protein required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities stran",109747.7586,129060.6812,98499.72892,111408.0424,106906.838,46132.27391,37855.47186,29853.12946,34635.51778,46136.71602,127403.1533,152123.0064,128026.3459,135250.9051,146711.8661,39879.90431,31700.1624,29853.12946,27342.03839,46621.82972,1,3,1,1,1,0,1,1,0,0,
YKR006C,4,1,46.41,5.93E-06,2.145649249,Condition 1,Condition 2,"MRPL13 SGDID:S000001714, Chr XI from 451217-450423, Genome Release 64-1-1, reverse complement, Verified ORF, """"Mitochondrial ribosomal protein of the large subunit, not essential for mitochondrial translation""""",55082.36714,52397.95587,47314.21989,54947.02125,60190.08231,30941.45418,26429.33514,23651.45834,22040.34169,22741.59164,63943.60443,61761.13828,61497.29291,66706.44417,82600.8837,26747.91696,22131.91846,23651.45834,17399.12977,22980.71264,0,0,1,0,1,1,0,0,0,0,
YCR046C,3,1,39.03,1.58E-05,1.947618708,Condition 1,Condition 2,"IMG1 SGDID:S000000642, Chr III from 210423-209914, Genome Release 64-1-1, reverse complement, Verified ORF, """"Mitochondrial ribosomal protein of the large subunit, required for respiration and for maintenance of the mitochondrial genome""""",37116.41169,41712.14303,36016.2926,41881.75708,38197.63763,17054.1848,21215.01499,18262.75122,18697.56466,24853.85341,43087.42108,49165.83846,46812.66014,50845.03266,52419.90877,14742.80802,17765.4481,18262.75122,14760.26818,25115.18421,1,1,1,0,0,0,0,0,0,0,
